char,hex,glyph
莓,U+8393,2540
莽,U+83BD,2541
菌,U+83CC,2542
菠,U+83E0,2543
葬,U+846C,2544
葱,U+8471,2545
蔷,U+8537,2546
薄,U+8584,2547
薇,U+8587,2548
藤,U+85E4,2549
蚓,U+8693,2550
蚯,U+86AF,2551
蜇,U+8707,2552
蝴,U+8774,2553
螃,U+8783,2554
蟹,U+87F9,2555
裕,U+88D5,2556
複,U+8907,2557
训,U+8BAD,2558
讯,U+8BAF,2559
访,U+8BBF,2560
评,U+8BC4,2561
诊,U+8BCA,2562
谣,U+8C23,2563
谭,U+8C2D,2564
谷,U+8C37,2565
赐,U+8D50,2566
践,U+8DF5,2567
蹬,U+8E6C,2568
辙,U+8F99,2569
辟,U+8F9F,2570
迁,U+8FC1,2571
迅,U+8FC5,2572
迫,U+8FEB,2573
述,U+8FF0,2574
逆,U+9006,2575
逐,U+9010,2576
逝,U+901D,2577
酪,U+916A,2578
钝,U+949D,2579
钧,U+94A7,2580
铅,U+94C5,2581
铎,U+94CE,2582
铭,U+94ED,2583
锏,U+950F,2584
锣,U+9523,2585
間,U+9593,2586
闷,U+95F7,2587
隙,U+9699,2588
障,U+969C,2589
顽,U+987D,2590
颂,U+9882,2591
频,U+9891,2592
饱,U+9971,2593
饷,U+9977,2594
驭,U+9A6D,2595
驼,U+9A7C,2596
骄,U+9A84,2597
魄,U+9B44,2598
鲭,U+9CAD,2599
鲷,U+9CB7,2600
鸭,U+9E2D,2601
鸽,U+9E3D,2602
鹫,U+9E6B,2603
丛,U+4E1B,2604
串,U+4E32,2605
乒,U+4E52,2606
亦,U+4EA6,2607
仙,U+4ED9,2608
仲,U+4EF2,2609
伪,U+4F2A,2610
伶,U+4F36,2611
侠,U+4FA0,2612
侥,U+4FA5,2613
侧,U+4FA7,2614
俱,U+4FF1,2615
倦,U+5026,2616
债,U+503A,2617
偎,U+504E,2618
兜,U+515C,2619
册,U+518C,2620
冢,U+51A2,2621
凹,U+51F9,2622
刑,U+5211,2623
刘,U+5218,2624
剂,U+5242,2625
剔,U+5254,2626
剖,U+5256,2627
勢,U+52E2,2628
勤,U+52E4,2629
勺,U+52FA,2630
勿,U+52FF,2631
卓,U+5353,2632
協,U+5354,2633
厂,U+5382,2634
厘,U+5398,2635
厢,U+53A2,2636
厦,U+53A6,2637
厨,U+53A8,2638
吨,U+5428,2639
吩,U+5429,2640
吭,U+542D,2641
呗,U+5457,2642
呻,U+547B,2643
咏,U+548F,2644
咐,U+5490,2645
咪,U+54AA,2646
哗,U+54D7,2647
哞,U+54DE,2648
唬,U+552C,2649
喚,U+559A,2650
喹,U+55B9,2651
喻,U+55BB,2652
嗖,U+55D6,2653
嘁,U+5601,2654
嘉,U+5609,2655
嘶,U+5636,2656
噔,U+5654,2657
嚏,U+568F,2658
嚷,U+56B7,2659
嚼,U+56BC,2660
坍,U+574D,2661
坡,U+5761,2662
坨,U+5768,2663
坪,U+576A,2664
埴,U+57F4,2665
堀,U+5800,2666
堕,U+5815,2667
堡,U+5821,2668
報,U+5831,2669
填,U+586B,2670
墅,U+5885,2671
墟,U+589F,2672
墩,U+58A9,2673
壁,U+58C1,2674
夷,U+5937,2675
奢,U+5962,2676
奴,U+5974,2677
妮,U+59AE,2678
姜,U+59DC,2679
娱,U+5A31,2680
婪,U+5A6A,2681
媚,U+5A9A,2682
媛,U+5A9B,2683
季,U+5B63,2684
孽,U+5B7D,2685
宅,U+5B85,2686
宏,U+5B8F,2687
宕,U+5B95,2688
宛,U+5B9B,2689
宣,U+5BA3,2690
宰,U+5BB0,2691
尊,U+5C0A,2692
屏,U+5C4F,2693
岸,U+5CB8,2694
崭,U+5D2D,2695
巢,U+5DE2,2696
帖,U+5E16,2697
幼,U+5E7C,2698
府,U+5E9C,2699
庭,U+5EAD,2700
弧,U+5F27,2701
径,U+5F84,2702
忧,U+5FE7,2703
怵,U+6035,2704
恍,U+604D,2705
患,U+60A3,2706
惚,U+60DA,2707
惦,U+60E6,2708
惫,U+60EB,2709
憋,U+618B,2710
戚,U+621A,2711
戟,U+621F,2712
戦,U+6226,2713
截,U+622A,2714
扳,U+6273,2715
抄,U+6284,2716
抑,U+6291,2717
抚,U+629A,2718
拎,U+62CE,2719
拗,U+62D7,2720
拦,U+62E6,2721
拨,U+62E8,2722
捂,U+6342,2723
捧,U+6367,2724
措,U+63AA,2725
掺,U+63BA,2726
揪,U+63EA,2727
撩,U+64A9,2728
擒,U+64D2,2729
敵,U+6575,2730
斜,U+659C,2731
斧,U+65A7,2732
旱,U+65F1,2733
昨,U+6628,2734
昵,U+6635,2735
時,U+6642,2736
晋,U+664B,2737
权,U+6743,2738
枕,U+6795,2739
林,U+6797,2740
枝,U+679D,2741
柜,U+67DC,2742
柳,U+67F3,2743
校,U+6821,2744
桌,U+684C,2745
梁,U+6881,2746
棱,U+68F1,2747
椰,U+6930,2748
檐,U+6A90,2749
殃,U+6B83,2750
殆,U+6B86,2751
殴,U+6BB4,2752
毯,U+6BEF,2753
氨,U+6C28,2754
江,U+6C5F,2755
污,U+6C61,2756
沌,U+6C8C,2757
沸,U+6CB8,2758
沼,U+6CBC,2759
洁,U+6D01,2760
洲,U+6D32,2761
浅,U+6D45,2762
淘,U+6DD8,2763
渊,U+6E0A,2764
渚,U+6E1A,2765
渡,U+6E21,2766
測,U+6E2C,2767
渺,U+6E3A,2768
湖,U+6E56,2769
溪,U+6EAA,2770
滓,U+6ED3,2771
漱,U+6F31,2772
烁,U+70C1,2773
焦,U+7126,2774
煞,U+715E,2775
煤,U+7164,2776
煽,U+717D,2777
熊,U+718A,2778
熏,U+718F,2779
熬,U+71AC,2780
熵,U+71B5,2781
燕,U+71D5,2782
燥,U+71E5,2783
犰,U+72B0,2784
犸,U+72B8,2785
狳,U+72F3,2786
狸,U+72F8,2787
玄,U+7384,2788
琪,U+742A,2789
瓢,U+74E2,2790
瓣,U+74E3,2791
甚,U+751A,2792
甸,U+7538,2793
畏,U+754F,2794
畔,U+7554,2795
痹,U+75F9,2796
瘫,U+762B,2797
皆,U+7686,2798
皇,U+7687,2799
盂,U+76C2,2800
盈,U+76C8,2801
盲,U+76F2,2802
眨,U+7728,2803
睁,U+7741,2804
督,U+7763,2805
睫,U+776B,2806
瞟,U+779F,2807
磺,U+78FA,2808
祥,U+7965,2809
祷,U+7977,2810
税,U+7A0E,2811
穷,U+7A77,2812
窗,U+7A97,2813
笹,U+7B39,2814
筷,U+7B77,2815
篷,U+7BF7,2816
粪,U+7CAA,2817
纱,U+7EB1,2818
纷,U+7EB7,2819
纺,U+7EBA,2820
绒,U+7ED2,2821
络,U+7EDC,2822
绽,U+7EFD,2823
缕,U+7F15,2824
缸,U+7F38,2825
罕,U+7F55,2826
羞,U+7F9E,2827
羡,U+7FA1,2828
耻,U+803B,2829
職,U+8077,2830
肋,U+808B,2831
肝,U+809D,2832
肪,U+80AA,2833
胀,U+80C0,2834
胃,U+80C3,2835
胯,U+80EF,2836
胶,U+80F6,2837
脂,U+8102,2838
脊,U+810A,2839
脐,U+8110,2840
脯,U+812F,2841
腥,U+8165,2842
腮,U+816E,2843
膈,U+8188,2844
膝,U+819D,2845
膨,U+81A8,2846
臂,U+81C2,2847
航,U+822A,2848
艰,U+8270,2849
芭,U+82AD,2850
苣,U+82E3,2851
苹,U+82F9,2852
荚,U+835A,2853
荞,U+835E,2854
荣,U+8363,2855
荪,U+836A,2856
莲,U+83B2,2857
菊,U+83CA,2858
萎,U+840E,2859
著,U+8457,2860
蔓,U+8513,2861
蔗,U+8517,2862
蔬,U+852C,2863
蔽,U+853D,2864
薰,U+85B0,2865
蘸,U+8638,2866
蚀,U+8680,2867
蜥,U+8725,2868
蜴,U+8734,2869
衔,U+8854,2870
裆,U+88C6,2871
裙,U+88D9,2872
褪,U+892A,2873
見,U+898B,2874
触,U+89E6,2875
誉,U+8A89,2876
誰,U+8AB0,2877
诀,U+8BC0,2878
诃,U+8BC3,2879
诗,U+8BD7,2880
诚,U+8BDA,2881
谍,U+8C0D,2882
谚,U+8C1A,2883
豁,U+8C41,2884
贞,U+8D1E,2885
贤,U+8D24,2886
贫,U+8D2B,2887
贷,U+8D37,2888
贿,U+8D3F,2889
赂,U+8D42,2890
赋,U+8D4B,2891
赝,U+8D5D,2892
踌,U+8E0C,2893
蹈,U+8E48,2894
躇,U+8E87,2895
轴,U+8F74,2896
辰,U+8FB0,2897
迈,U+8FC8,2898
逗,U+9017,2899
逞,U+901E,2900
進,U+9032,2901
遣,U+9063,2902
選,U+9078,2903
郁,U+90C1,2904
鄙,U+9119,2905
酣,U+9163,2906
酿,U+917F,2907
醋,U+918B,2908
钉,U+9489,2909
铂,U+94C2,2910
铠,U+94E0,2911
银,U+94F6,2912
铺,U+94FA,2913
销,U+9500,2914
锄,U+9504,2915
锐,U+9510,2916
锗,U+9517,2917
锵,U+9535,2918
镇,U+9547,2919
闘,U+95D8,2920
阎,U+960E,2921
阪,U+962A,2922
陋,U+964B,2923
隶,U+96B6,2924
雍,U+96CD,2925
霞,U+971E,2926
霸,U+9738,2927
韧,U+97E7,2928
韭,U+97ED,2929
颈,U+9888,2930
颜,U+989C,2931
飓,U+98D3,2932
飙,U+98D9,2933
饲,U+9972,2934
饴,U+9974,2935
饵,U+9975,2936
饺,U+997A,2937
驯,U+9A6F,2938
骆,U+9A86,2939
鬃,U+9B03,2940
鱿,U+9C7F,2941
鲽,U+9CBD,2942
鳄,U+9CC4,2943
鸯,U+9E2F,2944
鸳,U+9E33,2945
鹌,U+9E4C,2946
鹑,U+9E51,2947
鹰,U+9E70,2948
鹿,U+9E7F,2949
鼬,U+9F2C,2950
龄,U+9F84,2951
龇,U+9F87,2952
龟,U+9F9F,2953
